titulo,autores,fonte,ano,citacoes,resumo,link,pdf_url,pdf_local
Desafios e perspectivas no ensino da geografia: uma análise do novo ensino médio,"MSO de Lima,",AM da Silva Cursino,2023,0,"A presente pesquisa abordou as perspectivas e os desafios do ensino da Geografia com oNovo Ensino Médio. Pela BNCC, o Novo Ensino Médio, o componente curricular Geografia …",https://portal.amelica.org/ameli/journal/274/2744784021/html/,https://portal.amelica.org/ameli/journal/274/2744784021/html/,
Como os alunos pensam geograficamente,DDC Neves,"- Geografia Grapiúna, 2023 - periodicos.uesc.br",2023,0,… Os autores relatam que o conceito de pensamento espacial nasceu nos Estados Unidosno contexto da implementação dasgeotecnologiasaplicadas ao ensino. O que haveria seria …,http://periodicos.uesc.br/index.php/rlahige/article/view/3739,https://periodicos.uesc.br/index.php/rlahige/article/download/3739/2437,/home/lifa/resultados_geo_emi/pdfs/0055_Como os alunos pensam geograficamente.pdf
[LIVRO] [B] GEOPOSSÍVEL: Teorias e práticas pedagógicas possíveis em sala de aula,AV Resende,", AM Campos, CEM Gontijo… - 2023 - books.google.com",2023,0,… serviram de inspiração para a discussão de conceituações básicas sobre climas ebiodiversidade comuns às duas disciplinas (Geografia e Biologia noEnsinoMédioIntegrado): …,https://books.google.com/books?hl=pt-BR&lr=&id=p7q1EAAAQBAJ&oi=fnd&pg=PP1&dq=%22geotecnologias%22+%22ensino+m%C3%A9dio+integrado%22&ots=3hlQvDZnyK&sig=cZvLiHZX8c-25rlieI_kFpvi9yE,https://books.google.com/books?hl=pt-BR&lr=&id=p7q1EAAAQBAJ&oi=fnd&pg=PP1&dq=%22geotecnologias%22+%22ensino+m%C3%A9dio+integrado%22&ots=3hlQvDZnyK&sig=cZvLiHZX8c-25rlieI_kFpvi9yE,
"The Brazilian professional, scientific, and technological education system as an instrument for promoting gender equality in computing.",SL de Farias,",",2023,4,"The field of computing faces a persistent and significant challenge regarding women’srepresentation. Despite technological and social advances, the female presence in this field …",https://ceur-ws.org/Vol-3607/paper18.pdf,https://ceur-ws.org/Vol-3607/paper18.pdf,"/home/lifa/resultados_geo_emi/pdfs/0113_The Brazilian professional, scientific, and technological education system as an.pdf"
O Uso da geotecnologia nas escolas: análise e proposta de estratégias de ensino a partir das habilidades da Ciências da Natureza na BNCC,CO Rosa - 2022 - lume.ufrgs.br,,2022,0,"… Nos dias de hoje, asgeotecnologiasestão presentes em muitas estruturas que organizam a… O uso degeotecnologiasna prática de ensino de geografia noensinomédiointegrado: um …",https://lume.ufrgs.br/handle/10183/238182,https://lume.ufrgs.br/bitstream/handle/10183/238182/001140372.pdf?sequence=1,
"Utilização das geotecnologias no ensino fundamental II e médio, nas disciplinas biologia, ciências e biologia",ME Alves - 2022 - repositorio.unesp.br,,2022,0,"… SANTOS, RS O uso degeotecnologiasna prática de ensino de Geografia noensinomédiointegrado: um experimento em educação proativa. Universidade Federal Rural do …",https://repositorio.unesp.br/items/d1e1b441-eaca-454d-b673-9ce6c1969b5b,https://repositorio.unesp.br/bitstreams/3f15f183-b479-428b-b815-0253cbab5fc0/download,"/home/lifa/resultados_geo_emi/pdfs/0016_Utilização das geotecnologias no ensino fundamental II e médio, nas disciplinas.pdf"
Recursos digitais na alfabetização cartográfica e no ensino de geografia,"AR Faria,",LGB Bianchini,2022,0,"… , a utilização dasgeotecnologiase das tecnologias oriundas dasgeotecnologias, comorecurso … As demais pesquisas foram desenvolvidas no Ensino Médio,EnsinoMédioIntegradoe …",https://periodicoscientificos.itp.ifsp.edu.br/index.php/rifp/article/view/818,https://periodicoscientificos.itp.ifsp.edu.br/index.php/rifp/article/download/818/395,/home/lifa/resultados_geo_emi/pdfs/0037_Recursos digitais na alfabetização cartográfica e no ensino de geografia.pdf
[CITAÇÃO] [C] Analysis of the transition of the land use and cover: subsidy to public policies of soil use in the Brazilian Savannah,HSC Pilatti,",",2022,2,,,,
O estudo de hormônios por meio de uma sequência didática contextualizada para ensino de funções orgânicas e suas propriedades,DAIR Nogueira - 2022 - repositorio.ufscar.br,,2022,0,… Esta pesquisa contou com a participação de 26 alunos do 3º ano doEnsinoMédioIntegradoao Técnico em Meio Ambiente tendo os alunos idade entre 15 e 16 anos. Os mesmos são …,https://repositorio.ufscar.br/server/api/core/bitstreams/a84733df-f676-4156-b8f1-8873399440fe/content,https://repositorio.ufscar.br/server/api/core/bitstreams/a84733df-f676-4156-b8f1-8873399440fe/content,/home/lifa/resultados_geo_emi/pdfs/0085_O estudo de hormônios por meio de uma sequência didática contextualizada para en.pdf
Arborização urbana como temática para a aprendizagem significativa de conceitos científicos,CB Santos - 2022 - lume.ufrgs.br,,2022,0,"A arborização urbana se faz necessária, pois traz inúmeras vantagens tais como: acaracterização do município, o aumento do bem-estar da população, a melhoria do visual, a …",https://lume.ufrgs.br/handle/10183/256824,https://lume.ufrgs.br/bitstream/handle/10183/256824/001164670.pdf?sequence=1,
